C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test,InternetPenetration,InternetUsers,UploadSpeed,Download,FixedBroadbandSubscriptions,ChargesIntellProperty,GovernmentExpenditureOnEducation,GrossEnrolmentRatio,HighTechnologyExports,GINIindex,IncomeShareLow20,SurveyMeanIncome,Unemployment,UnemploymentTertiaryEducation,GDP_BM
1.0,0.2337161301798321,0.5948622679937849,0.9557663435315824,0.926322624709743,0.22508313381872563,0.6096503269961402,0.9587050038769538,0.2889260837342363,0.2832512397664461,0.0907866063653672,0.13996167248892077,0.29442942331373684,0.07542410880564282,0.012321246031914953,0.15293348182195532,-0.010831650532477309,-0.1491508398131338,0.13117705452922587,0.08395393567674943,0.06892497882230894,0.1281390852479145,0.1413423666032599
0.2337161301798321,1.0,0.7399970740568808,0.1638301380240895,0.39207400300652157,0.6613573649068577,0.7077444952188917,0.22450454641294354,0.21885547347410275,0.21920621835132423,0.15739383170109605,0.16608289520048988,0.22355193912320406,0.04175419258733332,-0.018363721959908798,0.26884440650490277,0.008652566050349335,-0.2784257167554972,0.2599039041328483,-0.06406191412594008,0.22436380053899058,0.28847128062019506,-0.012394521467033735
0.5948622679937849,0.7399970740568808,1.0,0.4936755105017821,0.7508358662274676,0.6390681460936026,0.9656966595123566,0.5390956414812454,0.3334759593358264,0.3394141155663256,0.16340849424572387,0.19574625357101635,0.3106538089220474,0.05774815864028213,-0.011714713854845592,0.295995962435155,0.0037460099469540887,-0.3305189903923129,0.3092494193057993,-0.05766283358644084,0.27596835335131653,0.26501696223193005,0.11854047895698284
0.9557663435315824,0.1638301380240895,0.49367551050178216,1.0,0.8418658584178333,0.1611968236511077,0.4853231069629939,0.9832438917520891,0.15082690352677178,0.15454059711685464,-0.003278736833203273,0.02006915587935032,0.16144473924914224,0.002845735147500681,-0.006946291004298915,0.04787780994015222,-0.06408120006645562,-0.06797980533741409,0.07005981030950215,-0.018324903351857408,0.05504618149665103,0.06686954416263598,-0.005840436334620893
0.926322624709743,0.3920740030065216,0.7508358662274676,0.8418658584178333,1.0,0.42558432450432326,0.7727369482987237,0.8499305686671933,0.3806539711386938,0.3837859384066528,0.18146731103310185,0.251449928271988,0.37897722029618275,0.16199550234493865,0.05581871113186705,0.26727420814230735,0.02485638217419299,-0.2716848984427722,0.24086357642730327,0.15096706143229596,0.12744482447648023,0.21139666789649375,0.1725209967531563
0.22508313381872563,0.6613573649068577,0.6390681460936026,0.16119682365110774,0.42558432450432326,0.9999999999999999,0.6165764731099084,0.15840758717894296,0.2609035667771281,0.277572274565709,0.2468088864754969,0.2843634062512046,0.36090492255915213,0.1325808866273802,0.06843350805451442,0.3510895084224492,0.07905448127390895,-0.34972970513354573,0.32112779542657016,0.09198670466439506,0.13960022197315416,0.24778846184798622,0.0633219722810321
0.6096503269961403,0.7077444952188917,0.9656966595123566,0.48532310696299386,0.7727369482987237,0.6165764731099084,1.0,0.5558238490260862,0.3915334235835514,0.39265438739360176,0.22627810701922077,0.2695136892955329,0.37063376636259965,0.08887319869003474,-0.007657226952497344,0.318989733328131,0.032500052876858906,-0.3714479341000596,0.3420543692035158,0.0327295144874111,0.23442539914109145,0.3000902791374782,0.21865993600734326
0.9587050038769538,0.22450454641294354,0.5390956414812454,0.9832438917520891,0.8499305686671934,0.15840758717894296,0.5558238490260862,1.0,0.1751960230351766,0.17486420540944694,0.03709831609814978,0.05846261511739869,0.17714635100753476,0.013231342653164876,-0.017397332278485618,0.0813332293252682,-0.05235386429773994,-0.10117948891473715,0.09660685526758934,-0.010537795545637614,0.05262869942040516,0.1034070470266491,0.039016321327362394
0.2889260837342363,0.2188554734741028,0.33347595933582647,0.15082690352677175,0.3806539711386938,0.2609035667771281,0.3915334235835515,0.17519602303517656,1.0,0.9714595934704874,0.25168794769509767,0.47750992518269947,0.8207163697801338,0.20645470179727712,0.08012802287162239,0.63003675435406,0.22863466713349728,-0.34944331427512265,0.23715853293619954,0.5175624090859811,0.03748896123864424,0.19602885060919703,0.64046308893443
0.2832512397664461,0.21920621835132423,0.3394141155663256,0.15454059711685464,0.3837859384066528,0.277572274565709,0.3926543873936018,0.17486420540944694,0.9714595934704874,0.9999999999999999,0.3120722626366004,0.5052167641822143,0.8294737990494762,0.1923945833120286,0.07130491948135509,0.6509141068249938,0.2312602623959664,-0.34126102341972336,0.23345832024521201,0.4867886532817492,0.027902786543923978,0.19951629082833955,0.6234571034009512
